# Logfile created on 2026-03-31 18:27:58 +0200 by logger.rb/v1.5.3
2026-03-31 18:28:11 +0200: Memory Usage (786096K) : metal2_diffprb has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (786096K) : baspoly_drw has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (786096K) : baspoly_pin has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (786096K) : psd_drw has 190070 polygons
2026-03-31 18:28:11 +0200: Memory Usage (786096K) : nldb_drw has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (786096K) : digibnd_drw has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (792168K) : via1_drw has 641588 polygons
2026-03-31 18:28:11 +0200: Memory Usage (792168K) : backmetal1_drw has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (792168K) : backmetal1_pin has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (792168K) : backmetal1_mask has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (792168K) : backmetal1_filler has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (792168K) : backmetal1_nofill has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (792168K) : backmetal1_slit has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (792168K) : backmetal1_text has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (792168K) : backmetal1_opc has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (792168K) : backmetal1_noqrc has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (792168K) : backmetal1_res has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (792168K) : backmetal1_iprobe has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (792168K) : backmetal1_diffprb has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (792168K) : backpassiv_drw has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (792168K) : res_drw has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (792168K) : sram_drw has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (792168K) : trans_drw has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (792168K) : ind_drw has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (792168K) : ind_pin has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (792168K) : ind_text has 0 polygons
2026-03-31 18:28:11 +0200: Memory Usage (792168K) : salblock_drw has 1125 polygons
2026-03-31 18:28:11 +0200: Memory Usage (800880K) : via2_drw has 688861 polygons
