# Logfile created on 2026-03-31 18:27:38 +0200 by logger.rb/v1.5.3
2026-03-31 18:27:43 +0200: Memory Usage (674856K) : activ_noqrc has 0 polygons
2026-03-31 18:27:43 +0200: Memory Usage (674856K) : biwind_drw has 0 polygons
2026-03-31 18:27:43 +0200: Memory Usage (674856K) : biwind_opc has 0 polygons
2026-03-31 18:27:43 +0200: Memory Usage (674856K) : pemwind_drw has 0 polygons
2026-03-31 18:27:44 +0200: Memory Usage (680400K) : gatpoly_drw has 363609 polygons
2026-03-31 18:27:44 +0200: Memory Usage (680400K) : gatpoly_pin has 774 polygons
2026-03-31 18:27:44 +0200: Memory Usage (680400K) : gatpoly_filler has 0 polygons
2026-03-31 18:27:44 +0200: Memory Usage (680400K) : gatpoly_nofill has 0 polygons
2026-03-31 18:27:44 +0200: Memory Usage (680400K) : gatpoly_opc has 0 polygons
2026-03-31 18:27:44 +0200: Memory Usage (680400K) : gatpoly_iopc has 0 polygons
2026-03-31 18:27:44 +0200: Memory Usage (680400K) : gatpoly_noqrc has 0 polygons
2026-03-31 18:27:47 +0200: Memory Usage (752592K) : cont_drw has 11013776 polygons
2026-03-31 18:27:47 +0200: Memory Usage (752592K) : cont_opc has 0 polygons
2026-03-31 18:27:47 +0200: Memory Usage (752592K) : nsd_drw has 0 polygons
2026-03-31 18:27:47 +0200: Memory Usage (752592K) : nsd_block has 0 polygons
2026-03-31 18:27:50 +0200: Memory Usage (761160K) : metal1_drw has 833614 polygons
2026-03-31 18:27:50 +0200: Memory Usage (761160K) : metal1_pin has 347782 polygons
2026-03-31 18:27:50 +0200: Memory Usage (761160K) : metal1_mask has 0 polygons
2026-03-31 18:27:50 +0200: Memory Usage (761160K) : metal1_filler has 0 polygons
2026-03-31 18:27:50 +0200: Memory Usage (761160K) : metal1_nofill has 0 polygons
2026-03-31 18:27:50 +0200: Memory Usage (761160K) : metal1_slit has 0 polygons
2026-03-31 18:27:51 +0200: Memory Usage (766680K) : metal1_text has 338966 polygons
2026-03-31 18:27:51 +0200: Memory Usage (766680K) : metal1_opc has 0 polygons
2026-03-31 18:27:51 +0200: Memory Usage (766680K) : metal1_noqrc has 0 polygons
2026-03-31 18:27:51 +0200: Memory Usage (766680K) : metal1_res has 0 polygons
2026-03-31 18:27:51 +0200: Memory Usage (766680K) : metal1_iprobe has 0 polygons
2026-03-31 18:27:51 +0200: Memory Usage (766680K) : metal1_diffprb has 0 polygons
2026-03-31 18:27:51 +0200: Memory Usage (766680K) : passiv_drw has 120 polygons
2026-03-31 18:27:51 +0200: Memory Usage (766680K) : passiv_pin has 0 polygons
2026-03-31 18:27:51 +0200: Memory Usage (766680K) : passiv_sbump has 0 polygons
2026-03-31 18:27:51 +0200: Memory Usage (766680K) : passiv_pillar has 0 polygons
2026-03-31 18:27:51 +0200: Memory Usage (766680K) : passiv_pdl has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (784896K) : metal2_drw has 659685 polygons
2026-03-31 18:27:52 +0200: Memory Usage (784896K) : metal2_pin has 2290 polygons
2026-03-31 18:27:52 +0200: Memory Usage (784896K) : metal2_mask has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (784896K) : metal2_filler has 1143 polygons
2026-03-31 18:27:52 +0200: Memory Usage (784896K) : metal2_nofill has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (784896K) : metal2_slit has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (784896K) : metal2_text has 2158 polygons
2026-03-31 18:27:52 +0200: Memory Usage (784896K) : metal2_opc has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (784896K) : metal2_noqrc has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (784896K) : metal2_res has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (784896K) : metal2_iprobe has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (784896K) : metal2_diffprb has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (784896K) : baspoly_drw has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (784896K) : baspoly_pin has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (784896K) : psd_drw has 190070 polygons
2026-03-31 18:27:52 +0200: Memory Usage (784896K) : nldb_drw has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (784896K) : digibnd_drw has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (790968K) : via1_drw has 641588 polygons
2026-03-31 18:27:52 +0200: Memory Usage (790968K) : backmetal1_drw has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (790968K) : backmetal1_pin has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (790968K) : backmetal1_mask has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (790968K) : backmetal1_filler has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (790968K) : backmetal1_nofill has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (790968K) : backmetal1_slit has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (790968K) : backmetal1_text has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (790968K) : backmetal1_opc has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (790968K) : backmetal1_noqrc has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (790968K) : backmetal1_res has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (790968K) : backmetal1_iprobe has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (790968K) : backmetal1_diffprb has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (790968K) : backpassiv_drw has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (790968K) : res_drw has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (790968K) : sram_drw has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (790968K) : trans_drw has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (790968K) : ind_drw has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (790968K) : ind_pin has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (790968K) : ind_text has 0 polygons
2026-03-31 18:27:52 +0200: Memory Usage (790968K) : salblock_drw has 1125 polygons
2026-03-31 18:27:53 +0200: Memory Usage (795720K) : via2_drw has 688861 polygons
2026-03-31 18:27:53 +0200: Memory Usage (804696K) : metal3_drw has 331012 polygons
2026-03-31 18:27:53 +0200: Memory Usage (804696K) : metal3_pin has 1918 polygons
2026-03-31 18:27:53 +0200: Memory Usage (804696K) : metal3_mask has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (804696K) : metal3_filler has 1636 polygons
2026-03-31 18:27:53 +0200: Memory Usage (804696K) : metal3_nofill has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (804696K) : metal3_slit has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (804696K) : metal3_text has 1467 polygons
2026-03-31 18:27:53 +0200: Memory Usage (804696K) : metal3_opc has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (804696K) : metal3_noqrc has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (804696K) : metal3_res has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (804696K) : metal3_iprobe has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (804696K) : metal3_diffprb has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (804696K) : nwell_drw has 93113 polygons
2026-03-31 18:27:53 +0200: Memory Usage (804696K) : nwell_pin has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (804696K) : nbulay_drw has 1974 polygons
2026-03-31 18:27:53 +0200: Memory Usage (804696K) : nbulay_pin has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (804696K) : nbulay_block has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (804696K) : emwind_drw has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (804696K) : emwind_opc has 0 polygons
2026-03-31 18:27:53 +0200: Memory Usage (804696K) : deepco_drw has 0 polygons
