# Logfile created on 2026-03-31 18:27:58 +0200 by logger.rb/v1.5.3
2026-03-31 18:28:02 +0200: Memory Usage (675788K) : activ_mask has 0 polygons
2026-03-31 18:28:02 +0200: Memory Usage (675788K) : activ_filler has 0 polygons
2026-03-31 18:28:02 +0200: Memory Usage (675788K) : activ_nofill has 0 polygons
2026-03-31 18:28:02 +0200: Memory Usage (675788K) : activ_opc has 0 polygons
2026-03-31 18:28:02 +0200: Memory Usage (675788K) : activ_iopc has 0 polygons
2026-03-31 18:28:02 +0200: Memory Usage (675788K) : activ_noqrc has 0 polygons
2026-03-31 18:28:02 +0200: Memory Usage (675788K) : biwind_drw has 0 polygons
2026-03-31 18:28:02 +0200: Memory Usage (675788K) : biwind_opc has 0 polygons
2026-03-31 18:28:02 +0200: Memory Usage (675788K) : pemwind_drw has 0 polygons
2026-03-31 18:28:03 +0200: Memory Usage (685556K) : gatpoly_drw has 363609 polygons
2026-03-31 18:28:04 +0200: Memory Usage (685556K) : gatpoly_pin has 774 polygons
2026-03-31 18:28:04 +0200: Memory Usage (685556K) : gatpoly_filler has 0 polygons
2026-03-31 18:28:04 +0200: Memory Usage (685556K) : gatpoly_nofill has 0 polygons
2026-03-31 18:28:04 +0200: Memory Usage (685556K) : gatpoly_opc has 0 polygons
2026-03-31 18:28:04 +0200: Memory Usage (685556K) : gatpoly_iopc has 0 polygons
2026-03-31 18:28:04 +0200: Memory Usage (685556K) : gatpoly_noqrc has 0 polygons
2026-03-31 18:28:07 +0200: Memory Usage (753532K) : cont_drw has 11013776 polygons
2026-03-31 18:28:07 +0200: Memory Usage (753532K) : cont_opc has 0 polygons
2026-03-31 18:28:07 +0200: Memory Usage (753532K) : nsd_drw has 0 polygons
2026-03-31 18:28:07 +0200: Memory Usage (753532K) : nsd_block has 0 polygons
2026-03-31 18:28:09 +0200: Memory Usage (762040K) : metal1_drw has 833614 polygons
2026-03-31 18:28:09 +0200: Memory Usage (762040K) : metal1_pin has 347782 polygons
2026-03-31 18:28:09 +0200: Memory Usage (762040K) : metal1_mask has 0 polygons
2026-03-31 18:28:09 +0200: Memory Usage (762040K) : metal1_filler has 0 polygons
2026-03-31 18:28:09 +0200: Memory Usage (762040K) : metal1_nofill has 0 polygons
2026-03-31 18:28:09 +0200: Memory Usage (762040K) : metal1_slit has 0 polygons
2026-03-31 18:28:09 +0200: Memory Usage (767500K) : metal1_text has 338966 polygons
2026-03-31 18:28:09 +0200: Memory Usage (767500K) : metal1_opc has 0 polygons
2026-03-31 18:28:09 +0200: Memory Usage (767500K) : metal1_noqrc has 0 polygons
2026-03-31 18:28:09 +0200: Memory Usage (767500K) : metal1_res has 0 polygons
2026-03-31 18:28:09 +0200: Memory Usage (767500K) : metal1_iprobe has 0 polygons
