# Logfile created on 2026-03-31 18:27:38 +0200 by logger.rb/v1.5.3
2026-03-31 18:27:54 +0200: Memory Usage (805856K) : metal4_noqrc has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805856K) : metal4_res has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805856K) : metal4_iprobe has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805856K) : metal4_diffprb has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805856K) : heattrans_drw has 9084 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805856K) : heatres_drw has 1042 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805856K) : pempoly_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805856K) : fbe_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805856K) : empoly_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805856K) : ldmos_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805856K) : pbiwind_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805856K) : digisub_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805856K) : nodrc_drw has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (805856K) : text_drw has 4679 polygons
2026-03-31 18:27:54 +0200: Memory Usage (807176K) : via4_drw has 329885 polygons
2026-03-31 18:27:54 +0200: Memory Usage (807176K) : metal5_drw has 33477 polygons
2026-03-31 18:27:54 +0200: Memory Usage (807176K) : metal5_pin has 1746 polygons
2026-03-31 18:27:54 +0200: Memory Usage (807176K) : metal5_mask has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (807176K) : metal5_filler has 24498 polygons
2026-03-31 18:27:54 +0200: Memory Usage (807176K) : metal5_nofill has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (807176K) : metal5_slit has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (807176K) : metal5_text has 1298 polygons
2026-03-31 18:27:54 +0200: Memory Usage (807176K) : metal5_opc has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (807176K) : metal5_noqrc has 0 polygons
2026-03-31 18:27:54 +0200: Memory Usage (807176K) : metal5_res has 0 polygons
